Category,Sheet,MedicationName,Question,CorrectAnswer,Option_1,Option_2,Option_3,Option_4,Option_5
Antibiotiques,Antibiotiques sachet,Alfamox,"Le médicament ""Alfamox"" est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Hémorroïdes, fissures anales, irritation et démangeaisons.","Symptômes grippaux (fièvre, congestion, douleurs).",Sécheresse vaginale,"Gorge, voies respiratoires, infections urinaires","Infections fongiques de la peau et des ongles, qu'elles soient infectées ou non par des bactéries."
Antibiotiques,Antibiotiques sachet,Aclav,"Le médicament ""Aclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour soulager les brûlures d'estomac et les reflux acides,"Virus (herpès, zona)","Large spectre, sinus, poumons, peau","Résorption des bleus, bosses et contusions | Reduit la douleur","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives"
Antibiotiques,Antibiotiques sachet,Augmentin,"Le médicament ""Augmentin"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Diarrhée légère ou irritation intestinale.,Pour baisser la tension artérielle,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour traiter les infections vaginales bactériennes,Pour traiter la démence légère à modérée
Antibiotiques,Antibiotiques sachet,Biotic Plus,"Le médicament ""Biotic Plus"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Rougeurs ou irritations de la peau sensible chez les bébés.,"Confort digestif chez le nourrisson (ballonnements, renforcement immunitaire).",Pour prévenir le rejet d'organe (immunosuppresseur),Toux grasse (fluidifie le mucus).
Antibiotiques,Antibiotiques sachet,Clavulin,"Le médicament ""Clavulin"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour soulager la douleur et les spasmes musculaires,Soutien articulaire (douleurs articulaires légères).,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Douleurs articulaires ou musculaires,Rougeurs ou irritations de la peau sensible chez les bébés.
Antibiotiques,Antibiotiques sachet,Co-Amoxiclav,"Le médicament ""Co-Amoxiclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour contrôler le taux de sucre dans le sang (diabète),Infections parasitaires ou bactériennes (prescription obligatoire).,Réduction rapide de l'inflammation et traitement des réactions allergiques sévères.,Pour prévenir les caillots sanguins,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives"
Antibiotiques,Antibiotiques sachet,Ecoclav,"Le médicament ""Ecoclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Coliques intestinales ou biliaires,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour baisser la tension artérielle et réduire le cholestérol,Renforcement osseux ou carence en calcium/vitamine D.,Pour améliorer la digestion et réduire les ballonnements
Antibiotiques,Antibiotiques sachet,Ibertin,"Le médicament ""Ibertin"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Hémorroïdes (douleur, inflammation)","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Soulage et apaise articulations, muscles et tendons.",Stimule le transit et les sécrétions intestinales | Améliore la fonction digestive.,Renforce les os (Compliment alimentaire)
Antibiotiques,Antibiotiques sachet,Levamox,"Le médicament ""Levamox"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Antiémétiques (vomissement),Contribue au maintien d'une vision normale,Pour aider à contrôler l'asthme et soulager les allergies,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Douleur modérée à intense (ex. blessures, douleurs post-opératoires) quand le paracétamol seul ne suffit pas (éviter un usage prolongé, risque de constipation)."
Antibiotiques,Antibiotiques sachet,Maxiclav,"Le médicament ""Maxiclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour soulager les nausées et faciliter la digestion,Soulagement des nausées et amélioration de la digestion.,Pour aider à déclencher l'ovulation,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Réduction de l'acidité gastrique pour soulager les brûlures d'estomac et les ulcères.
